Sno,Profile_of_buyer,Education_of_buyer,Occupation_of_buyer ,Is_Current_Property_Rented ,Current_Locality,Area_of_Current_Property,Deed_Type ,Value_of_New_Property_per_sqft ,Locality_of_New_Property ,Area_of_New_Property  ,Mode_of_Payment ,Number_of_installations ,New_Property_Value ,Is_there_Pan_card ,Gross_Income_for_last_1_year ,Gross_Income_for_last_2_year ,Gross_Income_for_last_3_year ,Gross_Income_for_last_4_year ,Gross_Income_for_last_5_year ,Source_of_income_1 ,Source_of_income_2 ,Source_of_income_3 ,Number_of_properties_owned ,Is_Rental_Income ,Since_when_rental_income_declared ,Ratio_rental_income_to_property_value ,Property_value_calc_on_rental_income ,Is_property_Inherited ,Inherited_Property_Cost ,Is_property_sold ,How_much_value_property_sold ,Total_value_of_all_properties_owned ,Total_income_of_last_year ,Is_Loan_Taken ,Ratio_Loan_to_own ,Who_Lender ,Rate_of_interest_charged_on_load ,Number_of_bank_accounts ,Transaction_X1 ,Transaction_X2 ,Transaction_X5 ,Transaction_X10 ,Transaction_X20,Suspicion
0,0,5,7,0,3,716,0,45344,0,2623,1,7,72079230,0,1447706,1868367,2419903,2876965,3349296,0,0,3,1,1,0,0,0,0,51481783,1,0,132571533,1978744,0,80,0,8,0,3,0,2,0,0,0
1,1,5,7,0,3,736,0,60509,1,2804,1,9,33605380,0,1597512,2123808,2579335,2345463,3243209,0,0,3,2,1,0,0,0,0,52451277,1,0,92528341,2266495,0,91,0,9,0,5,4,0,0,0,0
2,0,4,7,0,2,1294,0,45762,1,2188,1,9,96080148,0,2473245,1377350,2615554,2840329,2897048,0,0,3,2,1,0,0,0,0,46854355,1,0,123612227,1474986,0,97,0,8,0,2,3,1,0,0,0
3,0,3,4,0,4,1239,0,47596,1,2512,1,9,71917625,0,1334113,2263949,2575834,2587401,2708719,0,0,3,1,1,0,0,0,0,26103764,1,0,195336541,1201373,0,83,1,8,0,4,0,2,0,0,0
4,1,4,4,0,2,998,0,61472,1,2222,1,6,61434673,0,1560987,1258452,2337382,2249254,3387000,0,0,3,1,1,0,0,0,0,24178865,1,0,171586441,2089484,0,87,1,9,0,0,4,1,0,0,0
5,0,5,6,0,2,1318,0,61580,0,2048,1,7,76883783,0,1779369,2630360,2432102,2025931,2910120,0,0,3,2,1,0,0,0,0,54684004,1,0,82648964,1895621,0,90,0,9,1,2,2,0,0,0,0
6,0,5,6,0,3,843,0,62059,0,2791,1,5,89347097,0,1703570,1647306,2480822,2881329,3465661,0,0,3,1,1,0,0,0,0,54647751,1,0,161838216,1133997,0,85,1,8,1,0,3,2,0,0,0
7,0,3,4,0,4,735,0,65272,0,2348,1,8,42828306,0,2399995,2708971,2845240,2745331,3082037,0,0,3,1,1,0,0,0,0,35729277,1,0,136415420,1936839,0,98,0,8,1,3,3,2,0,0,0
8,1,3,9,0,4,1255,0,58273,0,2598,1,5,50770086,0,2082799,1507481,2759088,2399461,2701587,0,0,3,2,1,0,0,0,0,41712534,1,0,129925136,1959428,0,90,1,8,1,2,2,2,0,0,0
9,1,4,8,0,2,976,0,66111,0,2135,1,10,38355675,0,1530106,1927450,2477643,2254322,2516632,0,0,3,1,1,0,0,0,0,48079180,1,0,165120122,1452810,0,100,0,8,1,5,1,0,0,0,0
